word,affect,posemo,negemo,anx,anger,sad,social,family,friend,health,leisure,death
abandon,1,0,1,0,0,1,0,0,0,0,0,0
abortion,0,0,0,0,0,0,0,0,0,1,0,0
abuse,1,0,1,0,1,0,0,0,0,0,0,0
abusi,1,0,1,0,1,0,0,0,0,0,0,0
accept,1,1,0,0,0,0,0,0,0,0,0,0
accepta,1,1,0,0,0,0,0,0,0,0,0,0
accepted,1,1,0,0,0,0,0,0,0,0,0,0
accepting,1,1,0,0,0,0,0,0,0,0,0,0
accepts,1,1,0,0,0,0,0,0,0,0,0,0
ache,1,0,1,0,0,1,0,0,0,1,0,0
aching,1,0,1,0,0,1,0,0,0,1,0,0
acne,0,0,0,0,0,0,0,0,0,1,0,0
acquainta,0,0,0,0,0,0,1,0,1,0,0,0
active,1,1,0,0,0,0,0,0,0,0,0,0
actor,0,0,0,0,0,0,0,0,0,0,1,0
actress,0,0,0,0,0,0,0,0,0,0,1,0
addict,0,0,0,0,0,0,0,0,0,1,0,0
admir,1,1,0,0,0,0,0,0,0,0,0,0
admit,0,0,0,0,0,0,1,0,0,0,0,0
admits,0,0,0,0,0,0,1,0,0,0,0,0
admitted,0,0,0,0,0,0,1,0,0,0,0,0
admitting,0,0,0,0,0,0,1,0,0,0,0,0
ador,1,1,0,0,0,0,0,0,0,0,0,0
adult,0,0,0,0,0,0,1,0,0,0,0,0
adults,0,0,0,0,0,0,1,0,0,0,0,0
advantag,1,1,0,0,0,0,0,0,0,0,0,0
adventur,1,1,0,0,0,0,0,0,0,0,0,0
advers,1,0,1,0,0,0,0,0,0,0,0,0
advice,0,0,0,0,0,0,1,0,0,0,0,0
advil,0,0,0,0,0,0,0,0,0,1,0,0
advis,0,0,0,0,0,0,1,0,0,0,0,0
aerobic,0,0,0,0,0,0,0,0,0,0,1,0
affair,0,0,0,0,0,0,1,0,0,0,0,0
affection,1,1,0,0,0,0,0,0,0,0,0,0
afraid,1,0,1,1,0,0,0,0,0,0,0,0
aggravat,1,0,1,0,1,0,0,0,0,0,0,0
aggress,1,0,1,0,1,0,0,0,0,0,0,0
agitat,1,0,1,0,1,0,0,0,0,0,0,0
agoniz,1,0,1,0,0,1,0,0,0,0,0,0
agony,1,0,1,0,0,1,0,0,0,0,0,0
agree,1,1,0,0,0,0,0,0,0,0,0,0
agreeab,1,1,0,0,0,0,0,0,0,0,0,0
agreed,1,1,0,0,0,0,0,0,0,0,0,0
agreeing,1,1,0,0,0,0,0,0,0,0,0,0
agreement,1,1,0,0,0,0,0,0,0,0,0,0
agrees,1,1,0,0,0,0,0,0,0,0,0,0
aids,0,0,0,0,0,0,0,0,0,1,0,0
alarm,1,0,1,1,0,0,0,0,0,0,0,0
alcohol,0,0,0,0,0,0,0,0,0,1,0,0
alive,0,0,0,0,0,0,0,0,0,1,0,1
allerg,0,0,0,0,0,0,0,0,0,1,0,0
alone,1,0,1,0,0,1,0,0,0,0,0,0
alright,1,1,0,0,0,0,0,0,0,0,0,0
amaz,1,1,0,0,0,0,0,0,0,0,0,0
amigo,0,0,0,0,0,0,1,0,1,0,0,0
amor,1,1,0,0,0,0,0,0,0,0,0,0
amput,0,0,0,0,0,0,0,0,0,1,0,0
amus,1,1,0,0,0,0,0,0,0,0,1,0
anger,1,0,1,0,1,0,0,0,0,0,0,0
angr,1,0,1,0,1,0,0,0,0,0,0,0
anguish,1,0,1,1,0,0,0,0,0,0,0,0
annoy,1,0,1,0,1,0,0,0,0,0,0,0
anorexi,0,0,0,0,0,0,0,0,0,1,0,0
antacid,0,0,0,0,0,0,0,0,0,1,0,0
antagoni,1,0,1,0,1,0,0,0,0,0,0,0
antidepressant,0,0,0,0,0,0,0,0,0,1,0,0
anxi,1,0,1,1,0,0,0,0,0,0,0,0
anybod,0,0,0,0,0,0,1,0,0,0,0,0
anyone,0,0,0,0,0,0,1,0,0,0,0,0
aok,1,1,0,0,0,0,0,0,0,0,0,0
apartment,0,0,0,0,0,0,0,0,0,0,1,0
apath,1,0,1,0,0,0,0,0,0,0,0,0
apolog,0,0,0,0,0,0,1,0,0,0,0,0
appall,1,0,1,0,0,0,0,0,0,0,0,0
appendic,0,0,0,0,0,0,0,0,0,1,0,0
appreciat,1,1,0,0,0,0,0,0,0,0,0,0
apprehens,1,0,1,1,0,0,0,0,0,0,0,0
argh,1,0,1,0,1,0,0,0,0,0,0,0
argu,1,0,1,0,1,0,1,0,0,0,0,0
armies,0,0,0,0,0,0,1,0,0,0,0,0
army,0,0,0,0,0,0,1,0,0,0,0,0
arrogan,1,0,1,0,1,0,0,0,0,0,0,0
art,0,0,0,0,0,0,0,0,0,0,1,0
arthr,0,0,0,0,0,0,0,0,0,1,0,0
artist,0,0,0,0,0,0,0,0,0,0,1,0
arts,0,0,0,0,0,0,0,0,0,0,1,0
asham,1,0,1,1,0,0,0,0,0,0,0,0
ask,0,0,0,0,0,0,1,0,0,0,0,0
asked,0,0,0,0,0,0,1,0,0,0,0,0
asking,0,0,0,0,0,0,1,0,0,0,0,0
asks,0,0,0,0,0,0,1,0,0,0,0,0
aspirin,0,0,0,0,0,0,0,0,0,1,0,0
assault,1,0,1,0,1,0,0,0,0,0,0,0
assembl,0,0,0,0,0,0,1,0,0,0,0,0
asshole,1,0,1,0,1,0,0,0,0,0,0,0
assur,1,1,0,0,0,0,0,0,0,0,0,0
asthma,0,0,0,0,0,0,0,0,0,1,0,0
athletic,0,0,0,0,0,0,0,0,0,0,1,0
attachment,1,1,0,0,0,0,0,0,0,0,0,0
attack,1,0,1,0,1,0,0,0,0,0,0,0
attract,1,1,0,0,0,0,0,0,0,0,0,0
aunt,0,0,0,0,0,0,1,1,0,0,0,0
autops,0,0,0,0,0,0,0,0,0,0,0,1
aversi,1,0,1,1,0,0,0,0,0,0,0,0
avoid,1,0,1,1,0,0,0,0,0,0,0,0
award,1,1,0,0,0,0,0,0,0,0,0,0
awesome,1,1,0,0,0,0,0,0,0,0,0,0
awful,1,0,1,0,0,0,0,0,0,0,0,0
awkward,1,0,1,1,0,0,0,0,0,0,0,0
babe,0,0,0,0,0,0,1,0,0,0,0,0
babies,0,0,0,0,0,0,1,0,0,0,0,0
baby,0,0,0,0,0,0,1,0,0,0,0,0
bad,1,0,1,0,0,0,0,0,0,0,0,0
ball,0,0,0,0,0,0,0,0,0,0,1,0
ballet,0,0,0,0,0,0,0,0,0,0,1,0
bambino,0,0,0,0,0,0,1,0,0,0,0,0
band,0,0,0,0,0,0,1,0,0,0,1,0
bandage,0,0,0,0,0,0,0,0,0,1,0,0
bandaid,0,0,0,0,0,0,0,0,0,1,0,0
bands,0,0,0,0,0,0,1,0,0,0,1,0
bar,0,0,0,0,0,0,0,0,0,0,1,0
bars,0,0,0,0,0,0,0,0,0,0,1,0
baseball,0,0,0,0,0,0,0,0,0,0,1,0
bashful,1,0,1,0,0,0,0,0,0,0,0,0
basketball,0,0,0,0,0,0,0,0,0,0,1,0
bastard,1,0,1,0,1,0,0,0,0,0,0,0
bath,0,0,0,0,0,0,0,0,0,0,1,0
battl,1,0,1,0,1,0,0,0,0,0,0,0
beach,0,0,0,0,0,0,0,0,0,0,1,0
beaten,1,0,1,0,1,0,0,0,0,0,0,0
beaut,1,1,0,0,0,0,0,0,0,0,0,0
beer,0,0,0,0,0,0,0,0,0,0,1,0
beloved,1,1,0,0,0,0,0,0,0,0,0,0
benefic,1,1,0,0,0,0,0,0,0,0,0,0
benefit,1,1,0,0,0,0,0,0,0,0,0,0
benefits,1,1,0,0,0,0,0,0,0,0,0,0
benefitt,1,1,0,0,0,0,0,0,0,0,0,0
benevolen,1,1,0,0,0,0,0,0,0,0,0,0
benign,1,1,0,0,0,0,0,0,0,0,0,0
bereave,0,0,0,0,0,0,0,0,0,0,0,1
best,1,1,0,0,0,0,0,0,0,0,0,0
better,1,1,0,0,0,0,0,0,0,0,0,0
bf,0,0,0,0,0,0,1,0,1,0,0,0
bicyc,0,0,0,0,0,0,0,0,0,0,1,0
bike,0,0,0,0,0,0,0,0,0,0,1,0
binge,0,0,0,0,0,0,0,0,0,1,0,0
binging,0,0,0,0,0,0,0,0,0,1,0,0
bipolar,0,0,0,0,0,0,0,0,0,1,0,0
birdie,0,0,0,0,0,0,0,0,0,0,1,0
bitch,1,0,1,0,1,0,0,0,0,0,0,0
bitter,1,0,1,0,1,0,0,0,0,0,0,0
blackjack,0,0,0,0,0,0,0,0,0,0,1,0
blam,1,0,1,0,1,0,1,0,0,0,0,0
bleed,0,0,0,0,0,0,0,0,0,1,0,0
bless,1,1,0,0,0,0,0,0,0,0,0,0
blind,0,0,0,0,0,0,0,0,0,1,0,0
blockbuster,0,0,0,0,0,0,0,0,0,0,1,0
blog,0,0,0,0,0,0,0,0,0,0,1,0
bold,1,1,0,0,0,0,0,0,0,0,0,0
bonus,1,1,0,0,0,0,0,0,0,0,0,0
book,0,0,0,0,0,0,0,0,0,0,1,0
bore,1,0,1,0,0,0,0,0,0,0,0,0
boring,1,0,1,0,0,0,0,0,0,0,0,0
bother,1,0,1,0,1,0,0,0,0,0,0,0
boy,0,0,0,0,0,0,1,0,0,0,0,0
boy's,0,0,0,0,0,0,1,0,0,0,0,0
boyf,0,0,0,0,0,0,1,0,1,0,0,0
boys,0,0,0,0,0,0,1,0,0,0,0,0
brave,1,1,0,0,0,0,0,0,0,0,0,0
bright,1,1,0,0,0,0,0,0,0,0,0,0
brillian,1,1,0,0,0,0,0,0,0,0,0,0
bro,0,0,0,0,0,0,1,1,0,0,0,0
broke,1,0,1,0,0,1,0,0,0,0,0,0
bronchi,0,0,0,0,0,0,0,0,0,1,0,0
bros,0,0,0,0,0,0,1,1,0,0,0,0
brother,0,0,0,0,0,0,1,1,0,0,0,0
brutal,1,0,1,0,1,0,0,0,0,0,0,0
bud,0,0,0,0,0,0,1,0,1,0,0,0
buddies,0,0,0,0,0,0,1,0,1,0,0,0
buddy,0,0,0,0,0,0,1,0,1,0,0,0
bulimi,0,0,0,0,0,0,0,0,0,1,0,0
burden,1,0,1,0,0,0,0,0,0,0,0,0
burial,0,0,0,0,0,0,0,0,0,0,0,1
buried,0,0,0,0,0,0,0,0,0,0,0,1
burp,0,0,0,0,0,0,0,0,0,1,0,0
bury,0,0,0,0,0,0,0,0,0,0,0,1
bye,0,0,0,0,0,0,1,0,0,0,0,0
call,0,0,0,0,0,0,1,0,0,0,0,0
called,0,0,0,0,0,0,1,0,0,0,0,0
caller,0,0,0,0,0,0,1,0,0,0,0,0
calling,0,0,0,0,0,0,1,0,0,0,0,0
calls,0,0,0,0,0,0,1,0,0,0,0,0
calm,1,1,0,0,0,0,0,0,0,0,0,0
camping,0,0,0,0,0,0,0,0,0,0,1,0
cancer,0,0,0,0,0,0,0,0,0,1,0,0
captain,0,0,0,0,0,0,1,0,0,0,0,0
cardia,0,0,0,0,0,0,0,0,0,1,0,0
cardio,0,0,0,0,0,0,0,0,0,1,0,0
cards,0,0,0,0,0,0,0,0,0,0,1,0
care,1,1,0,0,0,0,0,0,0,0,0,0
cared,1,1,0,0,0,0,0,0,0,0,0,0
carefree,1,1,0,0,0,0,0,0,0,0,0,0
careful,1,1,0,0,0,0,0,0,0,0,0,0
careless,1,0,1,0,0,0,0,0,0,0,0,0
cares,1,1,0,0,0,0,0,0,0,0,0,0
caring,1,1,0,0,0,0,0,0,0,0,0,0
casino,0,0,0,0,0,0,0,0,0,0,1,0
casket,0,0,0,0,0,0,0,0,0,0,0,1
casual,1,1,0,0,0,0,0,0,0,0,1,0
casually,1,1,0,0,0,0,0,0,0,0,0,0
casualt,0,0,0,0,0,0,0,0,0,0,0,1
cd,0,0,0,0,0,0,0,0,0,0,1,0
celebrat,0,0,0,0,0,0,1,0,0,0,1,0
celebrit,0,0,0,0,0,0,0,0,0,0,1,0
cell,0,0,0,0,0,0,1,0,0,0,0,0
cellphon,0,0,0,0,0,0,1,0,0,0,0,0
cells,0,0,0,0,0,0,1,0,0,0,0,0
cellular,0,0,0,0,0,0,1,0,0,0,0,0
cemet,0,0,0,0,0,0,0,0,0,0,0,1
certain,1,1,0,0,0,0,0,0,0,0,0,0
challeng,1,1,0,0,0,0,0,0,0,0,0,0
champ,1,1,0,0,0,0,0,0,0,0,0,0
channel,0,0,0,0,0,0,0,0,0,0,1,0
charit,1,1,0,0,0,0,0,0,0,0,0,0
charm,1,1,0,0,0,0,0,0,0,0,0,0
chat,0,0,0,0,0,0,1,0,0,0,1,0
cheat,1,0,1,0,1,0,0,0,0,0,0,0
checkers,0,0,0,0,0,0,0,0,0,0,1,0
checkup,0,0,0,0,0,0,0,0,0,1,0,0
cheer,1,1,0,0,0,0,0,0,0,0,0,0
cherish,1,1,0,0,0,0,0,0,0,0,0,0
chess,0,0,0,0,0,0,0,0,0,0,1,0
chick,0,0,0,0,0,0,1,0,0,0,0,0
chick',0,0,0,0,0,0,1,0,0,0,0,0
child,0,0,0,0,0,0,1,0,0,0,0,0
child's,0,0,0,0,0,0,1,0,0,0,0,0
children,0,0,0,0,0,0,1,0,0,0,0,0
chillin,0,0,0,0,0,0,0,0,0,0,1,0
chills,0,0,0,0,0,0,0,0,0,1,0,0
chiropract,0,0,0,0,0,0,0,0,0,1,0,0
chlamydia,0,0,0,0,0,0,0,0,0,1,0,0
choir,0,0,0,0,0,0,0,0,0,0,1,0
chok,0,0,0,0,0,0,0,0,0,1,0,0
cholester,0,0,0,0,0,0,0,0,0,1,0,0
chorus,0,0,0,0,0,0,0,0,0,0,1,0
chronic,0,0,0,0,0,0,0,0,0,1,0,0
chuckl,1,1,0,0,0,0,0,0,0,0,0,0
cinema,0,0,0,0,0,0,0,0,0,0,1,0
citizen,0,0,0,0,0,0,1,0,0,0,0,0
citizen',0,0,0,0,0,0,1,0,0,0,0,0
citizens,0,0,0,0,0,0,1,0,0,0,0,0
clever,1,1,0,0,0,0,0,0,0,0,0,0
clinic,0,0,0,0,0,0,0,0,0,1,0,0
club,0,0,0,0,0,0,0,0,0,0,1,0
coach,0,0,0,0,0,0,0,0,0,0,1,0
cocktail,0,0,0,0,0,0,0,0,0,0,1,0
codeine,0,0,0,0,0,0,0,0,0,1,0,0
coffee,0,0,0,0,0,0,0,0,0,0,1,0
coffin,0,0,0,0,0,0,0,0,0,0,0,1
colleague,0,0,0,0,0,0,1,0,1,0,0,0
colono,0,0,0,0,0,0,0,0,0,1,0,0
coma,0,0,0,0,0,0,0,0,0,1,0,0
comed,1,1,0,0,0,0,0,0,0,0,1,0
comfort,1,1,0,0,0,0,0,0,0,0,0,0
comic,0,0,0,0,0,0,0,0,0,0,1,0
comment,0,0,0,0,0,0,1,0,0,0,0,0
commitment,1,1,0,0,0,0,0,0,0,0,0,0
commun,0,0,0,0,0,0,1,0,0,0,0,0
companion,0,0,0,0,0,0,1,0,1,0,0,0
companions,0,0,0,0,0,0,1,0,1,0,0,0
companionship,0,0,0,0,0,0,1,0,0,0,0,0
compassion,1,1,0,0,0,0,1,0,0,0,0,0
complain,1,0,1,0,0,0,1,0,0,0,0,0
compliment,1,1,0,0,0,0,0,0,0,0,0,0
comrad,0,0,0,0,0,0,1,0,1,0,0,0
concerned,1,0,0,0,0,0,0,0,0,0,0,0
concert,0,0,0,0,0,0,0,0,0,0,1,0
confess,0,0,0,0,0,0,1,0,0,0,0,0
confide,0,0,0,0,0,0,1,0,0,0,0,0
confided,0,0,0,0,0,0,1,0,0,0,0,0
confidence,1,1,0,0,0,0,0,0,0,0,0,0
confident,1,1,0,0,0,0,0,0,0,0,0,0
confidently,1,1,0,0,0,0,0,0,0,0,0,0
confides,0,0,0,0,0,0,1,0,0,0,0,0
confiding,0,0,0,0,0,0,1,0,0,0,0,0
confront,1,0,1,0,1,0,0,0,0,0,0,0
confus,1,0,1,1,0,0,0,0,0,0,0,0
congest,0,0,0,0,0,0,0,0,0,1,0,0
congregat,0,0,0,0,0,0,1,0,0,0,0,0
considerate,1,1,0,0,0,0,0,0,0,0,0,0
constipat,0,0,0,0,0,0,0,0,0,1,0,0
consult,0,0,0,0,0,0,1,0,0,0,0,0
contact,0,0,0,0,0,0,1,0,0,0,0,0
contag,0,0,0,0,0,0,0,0,0,1,0,0
contempt,1,0,1,0,1,0,0,0,0,0,0,0
contented,1,1,0,0,0,0,0,0,0,0,0,0
contentment,1,1,0,0,0,0,0,0,0,0,0,0
contradic,1,0,1,0,1,0,1,0,0,0,0,0
convers,0,0,0,0,0,0,1,0,0,0,0,0
convinc,1,1,0,0,0,0,0,0,0,0,0,0
cook,0,0,0,0,0,0,0,0,0,0,1,0
cool,1,1,0,0,0,0,0,0,0,0,0,0
coronar,0,0,0,0,0,0,0,0,0,1,0,0
coroner,0,0,0,0,0,0,0,0,0,0,0,1
corpse,0,0,0,0,0,0,0,0,0,0,0,1
cough,0,0,0,0,0,0,0,0,0,1,0,0
counc,0,0,0,0,0,0,1,0,0,0,0,0
couns,0,0,0,0,0,0,1,0,0,0,0,0
courag,1,1,0,0,0,0,0,0,0,0,0,0
cousin,0,0,0,0,0,0,1,1,0,0,0,0
coworker,0,0,0,0,0,0,1,0,0,0,0,0
cramp,0,0,0,0,0,0,0,0,0,1,0,0
crap,1,0,1,0,1,0,0,0,0,0,0,0
crappy,1,0,1,0,1,0,0,0,0,0,0,0
craz,1,0,1,1,0,0,0,0,0,0,0,0
create,1,1,0,0,0,0,0,0,0,0,0,0
creati,1,1,0,0,0,0,0,0,0,0,0,0
credit,1,1,0,0,0,0,0,0,0,0,0,0
cremat,0,0,0,0,0,0,0,0,0,0,0,1
cried,1,0,1,0,0,1,0,0,0,0,0,0
cries,1,0,1,0,0,1,0,0,0,0,0,0
critical,1,0,1,0,1,0,0,0,0,0,0,0
critici,1,0,1,0,1,0,0,0,0,0,0,0
crowd,0,0,0,0,0,0,1,0,0,0,0,0
crude,1,0,1,0,1,0,0,0,0,0,0,0
cruel,1,0,1,0,1,0,0,0,0,0,0,0
cruis,0,0,0,0,0,0,0,0,0,0,1,0
crushed,1,0,1,0,0,1,0,0,0,0,0,0
cry,1,0,1,0,0,1,0,0,0,0,0,0
crying,1,0,1,0,0,1,0,0,0,0,0,0
crypt,0,0,0,0,0,0,0,0,0,0,0,1
cultur,0,0,0,0,0,0,1,0,0,0,0,0
cunt,1,0,1,0,1,0,0,0,0,0,0,0
cut,1,0,1,0,1,0,0,0,0,0,0,0
cute,1,1,0,0,0,0,0,0,0,0,0,0
cutie,1,1,0,0,0,0,0,0,0,0,0,0
cynic,1,0,1,0,1,0,0,0,0,0,0,0
cyst,0,0,0,0,0,0,0,0,0,1,0,0
dad,0,0,0,0,0,0,1,1,0,0,0,0
damag,1,0,1,0,0,1,0,0,0,0,0,0
damn,1,0,1,0,1,0,0,0,0,0,0,0
danc,0,0,0,0,0,0,0,0,0,0,1,0
danger,1,0,1,0,1,0,0,0,0,0,0,0
daring,1,1,0,0,0,0,0,0,0,0,0,0
darlin,1,1,0,0,0,0,0,0,0,0,0,0
dating,0,0,0,0,0,0,1,0,0,0,0,0
daughter,0,0,0,0,0,0,1,1,0,0,0,0
daze,1,0,1,0,0,0,0,0,0,0,0,0
dead,0,0,0,0,0,0,0,0,0,0,0,1
deaf,0,0,0,0,0,0,0,0,0,1,0,0
deal,0,0,0,0,0,0,1,0,0,0,0,0
dear,1,1,0,0,0,0,0,0,0,0,0,0
death,0,0,0,0,0,0,0,0,0,0,0,1
decay,1,0,1,0,0,0,0,0,0,0,0,0
decease,0,0,0,0,0,0,0,0,0,0,0,1
decongest,0,0,0,0,0,0,0,0,0,1,0,0
decorat,0,0,0,0,0,0,0,0,0,0,1,0
defeat,1,0,1,0,0,1,0,0,0,0,0,0
defect,1,0,1,0,0,0,0,0,0,0,0,0
defenc,1,0,1,0,1,0,0,0,0,0,0,0
defens,1,0,1,0,1,0,0,0,0,0,0,0
definite,1,1,0,0,0,0,0,0,0,0,0,0
definitely,1,1,0,0,0,0,0,0,0,0,0,0
degrad,1,0,1,0,0,0,0,0,0,0,0,0
delectabl,1,1,0,0,0,0,0,0,0,0,0,0
delicate,1,1,0,0,0,0,0,0,0,0,0,0
delicious,1,1,0,0,0,0,0,0,0,0,0,0
deligh,1,1,0,0,0,0,0,0,0,0,0,0
demise,0,0,0,0,0,0,0,0,0,0,0,1
dentist,0,0,0,0,0,0,0,0,0,1,0,0
depress,1,0,1,0,0,1,0,0,0,0,0,0
depriv,1,0,1,0,0,1,0,0,0,0,0,0
derma,0,0,0,0,0,0,0,0,0,1,0,0
describe,0,0,0,0,0,0,1,0,0,0,0,0
described,0,0,0,0,0,0,1,0,0,0,0,0
describes,0,0,0,0,0,0,1,0,0,0,0,0
describing,0,0,0,0,0,0,1,0,0,0,0,0
despair,1,0,1,0,0,1,0,0,0,0,0,0
desperat,1,0,1,1,0,0,0,0,0,0,0,0
despis,1,0,1,0,1,0,0,0,0,0,0,0
destroy,1,0,1,0,1,0,0,0,0,0,0,0
destruct,1,0,1,0,1,0,0,0,0,0,0,0
determina,1,1,0,0,0,0,0,0,0,0,0,0
determined,1,1,0,0,0,0,0,0,0,0,0,0
detox,0,0,0,0,0,0,0,0,0,1,0,0
devastat,1,0,1,0,0,1,0,0,0,0,0,0
devil,1,0,1,0,0,0,0,0,0,0,0,0
devot,1,1,0,0,0,0,0,0,0,0,0,0
diabet,0,0,0,0,0,0,0,0,0,1,0,0
diagnos,0,0,0,0,0,0,0,0,0,1,0,0
diaries,0,0,0,0,0,0,0,0,0,0,1,0
diarr,0,0,0,0,0,0,0,0,0,1,0,0
diary,0,0,0,0,0,0,0,0,0,0,1,0
die,0,0,0,0,0,0,0,0,0,0,0,1
died,0,0,0,0,0,0,0,0,0,0,0,1
dies,0,0,0,0,0,0,0,0,0,0,0,1
difficult,1,0,1,0,0,0,0,0,0,0,0,0
digest,0,0,0,0,0,0,0,0,0,1,0,0
digni,1,1,0,0,0,0,0,0,0,0,0,0
disadvantage,1,0,1,0,0,1,0,0,0,0,0,0
disagree,1,0,1,0,0,0,0,0,0,0,0,0
disappoint,1,0,1,0,0,1,0,0,0,0,0,0
disaster,1,0,1,0,0,0,0,0,0,0,0,0
disclo,0,0,0,0,0,0,1,0,0,0,0,0
discomfort,1,0,1,1,0,0,0,0,0,0,0,0
discourag,1,0,1,0,0,1,0,0,0,0,0,0
discuss,0,0,0,0,0,0,1,0,0,0,0,0
disease,0,0,0,0,0,0,0,0,0,1,0,0
disgust,1,0,1,0,1,0,0,0,0,0,0,0
dishearten,1,0,1,0,0,1,0,0,0,0,0,0
disillusion,1,0,1,0,0,1,0,0,0,0,0,0
dislike,1,0,1,0,0,0,0,0,0,0,0,0
disliked,1,0,1,0,0,0,0,0,0,0,0,0
dislikes,1,0,1,0,0,0,0,0,0,0,0,0
disliking,1,0,1,0,0,0,0,0,0,0,0,0
dismay,1,0,1,0,0,0,0,0,0,0,0,0
dissatisf,1,0,1,0,0,1,0,0,0,0,0,0
distract,1,0,1,1,0,0,0,0,0,0,0,0
distraught,1,0,1,1,0,0,0,0,0,0,0,0
distress,1,0,1,1,0,0,0,0,0,0,0,0
distrust,1,0,1,0,1,0,0,0,0,0,0,0
disturb,1,0,1,1,0,0,0,0,0,0,0,0
divin,1,1,0,0,0,0,0,0,0,0,0,0
divorc,0,0,0,0,0,0,1,0,0,0,0,0
dizz,0,0,0,0,0,0,0,0,0,1,0,0
dj,0,0,0,0,0,0,0,0,0,0,1,0
doa,0,0,0,0,0,0,0,0,0,0,0,1
doctor,0,0,0,0,0,0,0,0,0,1,0,0
domina,1,0,1,0,1,0,0,0,0,0,0,0
doom,1,0,1,0,0,1,0,0,0,0,0,0
dork,1,0,1,0,0,0,0,0,0,0,0,0
dosage,0,0,0,0,0,0,0,0,0,1,0,0
dose,0,0,0,0,0,0,0,0,0,1,0,0
dosing,0,0,0,0,0,0,0,0,0,1,0,0
doubt,1,0,1,1,0,0,0,0,0,0,0,0
dr,0,0,0,0,0,0,0,0,0,1,0,0
drama,0,0,0,0,0,0,0,0,0,0,1,0
